"Host","Virus","HostGenus","HostFamily","HostOrder","VirusGenus","VirusFamily","VirusOrder","VirusClass","VirusZoonotic","NumRecords","YearFirstRecord","YearLastRecord","DetectionSerology","DetectionGenetic","DetectionIsolation"
"antilocapra americana","alcelaphine gammaherpesvirus 1","antilocapra","antilocapridae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1996,1996,TRUE,FALSE,FALSE
"antilocapra americana","bluetongue virus","antilocapra","antilocapridae","artiodactyla","orbivirus","sedoreoviridae","reovirales","resentoviricetes",FALSE,8,1982,2016,TRUE,TRUE,TRUE
"antilocapra americana","bovine alphaherpesvirus 1","antilocapra","antilocapridae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,3,1975,2013,TRUE,FALSE,TRUE
"antilocapra americana","bovine orthopneumovirus","antilocapra","antilocapridae","artiodactyla","orthopneumovirus","pneumoviridae","mononegavirales","monjiviricetes",FALSE,3,1986,2006,TRUE,FALSE,FALSE
"antilocapra americana","bovine respirovirus 3","antilocapra","antilocapridae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,3,1977,2006,TRUE,FALSE,TRUE
"antilocapra americana","epizootic hemorrhagic disease virus","antilocapra","antilocapridae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,7,1986,2006,TRUE,TRUE,FALSE
"antilocapra americana","human respirovirus 3","antilocapra","antilocapridae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",TRUE,2,1986,1999,TRUE,FALSE,FALSE
"antilocapra americana","indiana vesiculovirus","antilocapra","antilocapridae","artiodactyla","vesiculovirus","rhabdoviridae","mononegavirales","monjiviricetes",TRUE,1,1987,1987,TRUE,FALSE,FALSE
"antilocapra americana","new jersey vesiculovirus","antilocapra","antilocapridae","artiodactyla","vesiculovirus","rhabdoviridae","mononegavirales","monjiviricetes",TRUE,2,1987,1987,TRUE,FALSE,FALSE
"antilocapra americana","pestivirus a","antilocapra","antilocapridae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,4,1975,2006,TRUE,FALSE,FALSE
"antilocapra americana","saint louis encephalitis virus","antilocapra","antilocapridae","artiodactyla","flavivirus","flaviviridae","amarillovirales","flasuviricetes",TRUE,1,2001,2001,TRUE,FALSE,FALSE
"balaenoptera acutorostrata","influenza a virus","balaenoptera","balaenopteridae","artiodactyla","alphainfluenzavirus","orthomyxoviridae","articulavirales","insthoviricetes",TRUE,2,1978,2006,TRUE,FALSE,TRUE
"balaenoptera borealis","vesicular exanthema of swine virus","balaenoptera","balaenopteridae","artiodactyla","vesivirus","caliciviridae","picornavirales","pisoniviricetes",TRUE,2,1978,1978,TRUE,FALSE,FALSE
"balaenoptera physalus","cetacean morbillivirus","balaenoptera","balaenopteridae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,2000,2000,FALSE,TRUE,FALSE
"balaenoptera physalus","vesicular exanthema of swine virus","balaenoptera","balaenopteridae","artiodactyla","vesivirus","caliciviridae","picornavirales","pisoniviricetes",TRUE,2,1978,1978,TRUE,FALSE,FALSE
"addax nasomaculatus","bluetongue virus","addax","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,2,2001,2015,FALSE,FALSE,TRUE
"addax nasomaculatus","rotavirus a","addax","bovidae","artiodactyla","rotavirus","reoviridae","reovirales","resentoviricetes",TRUE,1,1983,1983,TRUE,FALSE,FALSE
"aepyceros melampus","akabane orthobunyavirus","aepyceros","bovidae","artiodactyla","orthobunyavirus","peribunyaviridae","bunyavirales","ellioviricetes",FALSE,2,1985,1987,TRUE,FALSE,FALSE
"aepyceros melampus","alcelaphine gammaherpesvirus 2","aepyceros","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1973,1973,TRUE,FALSE,FALSE
"aepyceros melampus","bluetongue virus","aepyceros","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,6,1974,2002,TRUE,FALSE,FALSE
"aepyceros melampus","bovine alphaherpesvirus 1","aepyceros","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,4,1978,1998,TRUE,FALSE,FALSE
"aepyceros melampus","bovine fever ephemerovirus","aepyceros","bovidae","artiodactyla","ephemerovirus","rhabdoviridae","mononegavirales","monjiviricetes",FALSE,3,1990,2015,TRUE,FALSE,FALSE
"aepyceros melampus","bovine orthopneumovirus","aepyceros","bovidae","artiodactyla","orthopneumovirus","pneumoviridae","mononegavirales","monjiviricetes",FALSE,1,2002,2002,TRUE,FALSE,FALSE
"aepyceros melampus","bovine respirovirus 3","aepyceros","bovidae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,2,1978,2002,TRUE,FALSE,FALSE
"aepyceros melampus","crimean-congo hemorrhagic fever orthonairovirus","aepyceros","bovidae","artiodactyla","orthonairovirus","nairoviridae","bunyavirales","ellioviricetes",TRUE,3,1987,1993,TRUE,FALSE,FALSE
"aepyceros melampus","foot-and-mouth disease virus","aepyceros","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,40,1969,2022,TRUE,TRUE,FALSE
"aepyceros melampus","lumpy skin disease virus","aepyceros","bovidae","artiodactyla","capripoxvirus","poxviridae","chitovirales","pokkesviricetes",FALSE,1,1983,1983,TRUE,FALSE,FALSE
"aepyceros melampus","lymphocystis disease virus 1","aepyceros","bovidae","artiodactyla","lymphocystivirus","iridoviridae","pimascovirales","megaviricetes",FALSE,1,1983,1983,TRUE,FALSE,FALSE
"aepyceros melampus","pestivirus a","aepyceros","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,4,1979,1998,TRUE,FALSE,FALSE
"aepyceros melampus","rift valley fever phlebovirus","aepyceros","bovidae","artiodactyla","phlebovirus","phenuiviridae","bunyavirales","ellioviricetes",TRUE,3,1998,2016,TRUE,FALSE,FALSE
"aepyceros melampus","rinderpest morbillivirus","aepyceros","bovidae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,2005,2005,TRUE,FALSE,FALSE
"aepyceros melampus","rotavirus a","aepyceros","bovidae","artiodactyla","rotavirus","reoviridae","reovirales","resentoviricetes",TRUE,1,1978,1978,FALSE,FALSE,TRUE
"alcelaphus buselaphus","akabane orthobunyavirus","alcelaphus","bovidae","artiodactyla","orthobunyavirus","peribunyaviridae","bunyavirales","ellioviricetes",FALSE,3,1985,1990,TRUE,FALSE,FALSE
"alcelaphus buselaphus","alcelaphine gammaherpesvirus 2","alcelaphus","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,3,1973,2014,FALSE,FALSE,TRUE
"alcelaphus buselaphus","bluetongue virus","alcelaphus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,3,1978,2001,TRUE,FALSE,FALSE
"alcelaphus buselaphus","bovine alphaherpesvirus 1","alcelaphus","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1978,1978,TRUE,FALSE,FALSE
"alcelaphus buselaphus","bovine alphaherpesvirus 2","alcelaphus","bovidae","artiodactyla","simplexvirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1990,1990,TRUE,FALSE,FALSE
"alcelaphus buselaphus","bovine fever ephemerovirus","alcelaphus","bovidae","artiodactyla","ephemerovirus","rhabdoviridae","mononegavirales","monjiviricetes",FALSE,2,1990,2015,TRUE,FALSE,FALSE
"alcelaphus buselaphus","bovine respirovirus 3","alcelaphus","bovidae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,1978,1978,TRUE,FALSE,FALSE
"alcelaphus buselaphus","crimean-congo hemorrhagic fever orthonairovirus","alcelaphus","bovidae","artiodactyla","orthonairovirus","nairoviridae","bunyavirales","ellioviricetes",TRUE,3,1987,2016,TRUE,FALSE,FALSE
"alcelaphus buselaphus","foot-and-mouth disease virus","alcelaphus","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,7,1990,2015,TRUE,TRUE,FALSE
"alcelaphus buselaphus","ovine gammaherpesvirus 2","alcelaphus","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1975,1975,TRUE,FALSE,FALSE
"alcelaphus buselaphus","pestivirus a","alcelaphus","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,3,1979,1998,TRUE,FALSE,FALSE
"alcelaphus buselaphus","rinderpest morbillivirus","alcelaphus","bovidae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"ammotragus lervia","alcelaphine gammaherpesvirus 1","ammotragus","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,2005,2005,FALSE,TRUE,FALSE
"ammotragus lervia","bluetongue virus","ammotragus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,2,2008,2011,TRUE,FALSE,FALSE
"ammotragus lervia","bovine alphaherpesvirus 1","ammotragus","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1979,1979,TRUE,FALSE,FALSE
"ammotragus lervia","pestivirus a","ammotragus","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,1,1983,1983,TRUE,FALSE,FALSE
"antidorcas marsupialis","akabane orthobunyavirus","antidorcas","bovidae","artiodactyla","orthobunyavirus","peribunyaviridae","bunyavirales","ellioviricetes",FALSE,1,1987,1987,TRUE,FALSE,FALSE
"antidorcas marsupialis","bluetongue virus","antidorcas","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,2,1982,2001,TRUE,FALSE,FALSE
"antidorcas marsupialis","bovine fever ephemerovirus","antidorcas","bovidae","artiodactyla","ephemerovirus","rhabdoviridae","mononegavirales","monjiviricetes",FALSE,1,2015,2015,TRUE,FALSE,FALSE
"antidorcas marsupialis","bovine respirovirus 3","antidorcas","bovidae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,1978,1978,TRUE,FALSE,FALSE
"antidorcas marsupialis","crimean-congo hemorrhagic fever orthonairovirus","antidorcas","bovidae","artiodactyla","orthonairovirus","nairoviridae","bunyavirales","ellioviricetes",TRUE,3,1987,2016,TRUE,FALSE,FALSE
"antidorcas marsupialis","foot-and-mouth disease virus","antidorcas","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,2,1975,2013,TRUE,FALSE,FALSE
"antidorcas marsupialis","lumpy skin disease virus","antidorcas","bovidae","artiodactyla","capripoxvirus","poxviridae","chitovirales","pokkesviricetes",FALSE,9,1983,2010,TRUE,TRUE,FALSE
"antidorcas marsupialis","lymphocystis disease virus 1","antidorcas","bovidae","artiodactyla","lymphocystivirus","iridoviridae","pimascovirales","megaviricetes",FALSE,1,1983,1983,FALSE,TRUE,FALSE
"antidorcas marsupialis","pestivirus a","antidorcas","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,2,1979,1983,TRUE,FALSE,FALSE
"antidorcas marsupialis","rift valley fever phlebovirus","antidorcas","bovidae","artiodactyla","phlebovirus","phenuiviridae","bunyavirales","ellioviricetes",TRUE,2,2016,2016,FALSE,TRUE,FALSE
"antilope cervicapra","bluetongue virus","antilope","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1998,1998,TRUE,FALSE,FALSE
"antilope cervicapra","epizootic hemorrhagic disease virus","antilope","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,2001,2001,TRUE,FALSE,FALSE
"antilope cervicapra","equid alphaherpesvirus 1","antilope","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,2,2006,2006,FALSE,TRUE,TRUE
"antilope cervicapra","foot-and-mouth disease virus","antilope","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,4,1983,2020,TRUE,TRUE,TRUE
"antilope cervicapra","orf virus","antilope","bovidae","artiodactyla","parapoxvirus","poxviridae","chitovirales","pokkesviricetes",TRUE,1,2016,2016,FALSE,TRUE,FALSE
"beatragus hunteri","bluetongue virus","beatragus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1982,1982,TRUE,FALSE,FALSE
"bos gaurus","foot-and-mouth disease virus","bos","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,1,1992,1992,FALSE,FALSE,TRUE
"bos gaurus","ovine gammaherpesvirus 2","bos","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1993,1993,FALSE,FALSE,TRUE
"bos gaurus","rinderpest morbillivirus","bos","bovidae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,1993,1993,FALSE,FALSE,TRUE
"bos javanicus","alcelaphine gammaherpesvirus 1","bos","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1980,1980,FALSE,FALSE,TRUE
"bos javanicus","bovine immunodeficiency virus","bos","bovidae","artiodactyla","lentivirus","retroviridae","ortervirales","revtraviricetes",FALSE,41,1995,2010,TRUE,TRUE,TRUE
"bos javanicus","caprine gammaherpesvirus 2","bos","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,2,2011,2011,FALSE,TRUE,FALSE
"bos javanicus","jembrana disease virus","bos","bovidae","artiodactyla","lentivirus","retroviridae","ortervirales","revtraviricetes",FALSE,4,1995,2020,FALSE,TRUE,FALSE
"bos javanicus","ovine gammaherpesvirus 2","bos","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,2,1994,1994,FALSE,TRUE,FALSE
"bos mutus","bovine alphaherpesvirus 1","bos","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,2009,2009,TRUE,FALSE,FALSE
"bos mutus","deltapapillomavirus 4","bos","bovidae","artiodactyla","deltapapillomavirus","papillomaviridae","zurhausenvirales","papovaviricetes",FALSE,1,2012,2012,FALSE,TRUE,FALSE
"bos mutus","foot-and-mouth disease virus","bos","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,1,1978,1978,FALSE,FALSE,TRUE
"bos mutus","pestivirus a","bos","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,1,2008,2008,FALSE,FALSE,TRUE
"bos primigenius","foot-and-mouth disease virus","bos","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,3,2012,2012,FALSE,TRUE,FALSE
"bos primigenius","rabies lyssavirus","bos","bovidae","artiodactyla","lyssavirus","rhabdoviridae","mononegavirales","monjiviricetes",TRUE,17,2014,2014,FALSE,TRUE,FALSE
"bos primigenius","rotavirus a","bos","bovidae","artiodactyla","rotavirus","sedoreoviridae","reovirales","resentoviricetes",TRUE,2,2013,2014,FALSE,TRUE,FALSE
"bos sp.","foot-and-mouth disease virus","bos","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,1,2005,2005,FALSE,TRUE,FALSE
"bos sp.","pseudocowpox virus","bos","bovidae","artiodactyla","parapoxvirus","poxviridae","chitovirales","pokkesviricetes",TRUE,1,2005,2005,FALSE,TRUE,FALSE
"boselaphus tragocamelus","foot-and-mouth disease virus","boselaphus","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,6,1981,2013,FALSE,TRUE,TRUE
"boselaphus tragocamelus","pestivirus a","boselaphus","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,1,1983,1983,FALSE,FALSE,TRUE
"boselaphus tragocamelus","small ruminant morbillivirus","boselaphus","bovidae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,1987,1987,TRUE,FALSE,FALSE
"bubalus sp.","epsilonpapillomavirus 1","bubalus","bovidae","artiodactyla","epsilonpapillomavirus","papillomaviridae","zurhausenvirales","papovaviricetes",FALSE,2,2011,2014,FALSE,TRUE,FALSE
"budorcas taxicolor","orf virus","budorcas","bovidae","artiodactyla","parapoxvirus","poxviridae","chitovirales","pokkesviricetes",TRUE,4,2003,2004,FALSE,TRUE,TRUE
"capra aegagrus","caprine alphaherpesvirus 1","capra","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,2,2009,2009,FALSE,TRUE,FALSE
"capra aegagrus","foot-and-mouth disease virus","capra","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,1,2003,2003,FALSE,FALSE,TRUE
"capra aegagrus","small ruminant morbillivirus","capra","bovidae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,2,2011,2011,FALSE,TRUE,FALSE
"capra ibex","bluetongue virus","capra","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,2,2001,2011,TRUE,FALSE,FALSE
"capra ibex","bovine alphaherpesvirus 1","capra","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1988,1988,TRUE,FALSE,FALSE
"capra ibex","caprine alphaherpesvirus 1","capra","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,3,1983,1988,TRUE,FALSE,FALSE
"capra ibex","caprine gammaherpesvirus 2","capra","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,2,2011,2011,FALSE,TRUE,FALSE
"capra ibex","cervid alphaherpesvirus 1","capra","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1988,1988,TRUE,FALSE,FALSE
"capra ibex","orf virus","capra","bovidae","artiodactyla","parapoxvirus","poxviridae","chitovirales","pokkesviricetes",TRUE,3,2020,2020,FALSE,TRUE,FALSE
"capra ibex","ovine atadenovirus d","capra","bovidae","artiodactyla","atadenovirus","adenoviridae","rowavirales","tectiliviricetes",FALSE,1,2004,2004,FALSE,FALSE,TRUE
"capra ibex","pestivirus a","capra","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,1,2012,2012,TRUE,FALSE,FALSE
"capra ibex","small ruminant morbillivirus","capra","bovidae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,2,1987,2009,FALSE,TRUE,FALSE
"capra nubiana","bluetongue virus","capra","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,2015,2015,FALSE,FALSE,TRUE
"capra pyrenaica","bluetongue virus","capra","bovidae","artiodactyla","orbivirus","sedoreoviridae","reovirales","resentoviricetes",FALSE,4,2011,2021,TRUE,TRUE,FALSE
"capra pyrenaica","orf virus","capra","bovidae","artiodactyla","parapoxvirus","poxviridae","chitovirales","pokkesviricetes",TRUE,2,2023,2023,FALSE,TRUE,FALSE
"capricornis crispus","bovine papular stomatitis virus","capricornis","bovidae","artiodactyla","parapoxvirus","poxviridae","chitovirales","pokkesviricetes",TRUE,3,2000,2002,TRUE,FALSE,TRUE
"capricornis crispus","orf virus","capricornis","bovidae","artiodactyla","parapoxvirus","poxviridae","chitovirales","pokkesviricetes",TRUE,17,1984,2020,TRUE,TRUE,FALSE
"capricornis crispus","pestivirus a","capricornis","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,6,2006,2006,FALSE,TRUE,TRUE
"capricornis sumatraensis","pestivirus a","capricornis","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,1,1983,1983,TRUE,FALSE,FALSE
"cephalophus callipygus","zaire ebolavirus","cephalophus","bovidae","artiodactyla","ebolavirus","filoviridae","mononegavirales","monjiviricetes",TRUE,1,2007,2007,FALSE,TRUE,FALSE
"cephalophus dorsalis","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus dorsalis","bovine alphaherpesvirus 1","cephalophus","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus dorsalis","onyong-nyong virus","cephalophus","bovidae","artiodactyla","alphavirus","togaviridae","martellivirales","alsuviricetes",TRUE,1,2012,2012,TRUE,FALSE,FALSE
"cephalophus leucogaster","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus leucogaster","bovine alphaherpesvirus 1","cephalophus","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus leucogaster","onyong-nyong virus","cephalophus","bovidae","artiodactyla","alphavirus","togaviridae","martellivirales","alsuviricetes",TRUE,1,2012,2012,TRUE,FALSE,FALSE
"cephalophus niger","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1982,1982,TRUE,FALSE,FALSE
"cephalophus nigrifrons","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus nigrifrons","bovine alphaherpesvirus 1","cephalophus","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus rufilatus","alcelaphine gammaherpesvirus 1","cephalophus","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1989,1989,TRUE,FALSE,FALSE
"cephalophus rufilatus","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1982,1982,TRUE,FALSE,FALSE
"cephalophus silvicultor","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1982,1982,TRUE,FALSE,FALSE
"cephalophus weynsi","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus weynsi","bovine alphaherpesvirus 1","cephalophus","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1995,1995,TRUE,FALSE,FALSE
"cephalophus zebra","bluetongue virus","cephalophus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1982,1982,TRUE,FALSE,FALSE
"connochaetes gnou","alcelaphine gammaherpesvirus 1","connochaetes","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,3,1984,2008,FALSE,TRUE,TRUE
"connochaetes gnou","bluetongue virus","connochaetes","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,1,1982,1982,TRUE,FALSE,FALSE
"connochaetes gnou","bovine fever ephemerovirus","connochaetes","bovidae","artiodactyla","ephemerovirus","rhabdoviridae","mononegavirales","monjiviricetes",FALSE,1,2015,2015,TRUE,FALSE,FALSE
"connochaetes gnou","foot-and-mouth disease virus","connochaetes","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,1,1934,1934,FALSE,FALSE,TRUE
"connochaetes gnou","lumpy skin disease virus","connochaetes","bovidae","artiodactyla","capripoxvirus","poxviridae","chitovirales","pokkesviricetes",FALSE,1,1997,1997,TRUE,FALSE,FALSE
"connochaetes gnou","rotavirus a","connochaetes","bovidae","artiodactyla","rotavirus","reoviridae","reovirales","resentoviricetes",TRUE,1,1983,1983,TRUE,FALSE,FALSE
"connochaetes taurinus","akabane orthobunyavirus","connochaetes","bovidae","artiodactyla","orthobunyavirus","peribunyaviridae","bunyavirales","ellioviricetes",FALSE,3,1985,1990,TRUE,FALSE,FALSE
"connochaetes taurinus","alcelaphine gammaherpesvirus 1","connochaetes","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,16,1960,1998,TRUE,TRUE,TRUE
"connochaetes taurinus","alcelaphine gammaherpesvirus 2","connochaetes","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1973,1973,TRUE,FALSE,FALSE
"connochaetes taurinus","bluetongue virus","connochaetes","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,5,1982,2001,TRUE,FALSE,FALSE
"connochaetes taurinus","bovine alphaherpesvirus 1","connochaetes","bovidae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,4,1974,1998,TRUE,FALSE,TRUE
"connochaetes taurinus","bovine alphaherpesvirus 2","connochaetes","bovidae","artiodactyla","simplexvirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1990,1990,TRUE,FALSE,FALSE
"connochaetes taurinus","bovine fever ephemerovirus","connochaetes","bovidae","artiodactyla","ephemerovirus","rhabdoviridae","mononegavirales","monjiviricetes",FALSE,3,1990,2015,TRUE,FALSE,FALSE
"connochaetes taurinus","bovine respirovirus 3","connochaetes","bovidae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,1,1978,1978,TRUE,FALSE,FALSE
"connochaetes taurinus","foot-and-mouth disease virus","connochaetes","bovidae","artiodactyla","aphthovirus","picornaviridae","picornavirales","pisoniviricetes",TRUE,6,1969,1990,TRUE,TRUE,FALSE
"connochaetes taurinus","lumpy skin disease virus","connochaetes","bovidae","artiodactyla","capripoxvirus","poxviridae","chitovirales","pokkesviricetes",FALSE,1,1997,1997,TRUE,FALSE,FALSE
"connochaetes taurinus","pestivirus a","connochaetes","bovidae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,4,1979,1998,TRUE,FALSE,FALSE
"connochaetes taurinus","rabies lyssavirus","connochaetes","bovidae","artiodactyla","lyssavirus","rhabdoviridae","mononegavirales","monjiviricetes",TRUE,1,2013,2013,FALSE,TRUE,FALSE
"connochaetes taurinus","rift valley fever phlebovirus","connochaetes","bovidae","artiodactyla","phlebovirus","phenuiviridae","bunyavirales","ellioviricetes",TRUE,2,2016,2016,TRUE,FALSE,FALSE
"connochaetes taurinus","rinderpest morbillivirus","connochaetes","bovidae","artiodactyla","morbillivirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,2,1967,1967,TRUE,FALSE,FALSE
"damaliscus lunatus","akabane orthobunyavirus","damaliscus","bovidae","artiodactyla","orthobunyavirus","peribunyaviridae","bunyavirales","ellioviricetes",FALSE,4,1985,1990,TRUE,FALSE,FALSE
"damaliscus lunatus","alcelaphine gammaherpesvirus 2","damaliscus","bovidae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,3,1981,2014,FALSE,TRUE,TRUE
"damaliscus lunatus","bluetongue virus","damaliscus","bovidae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,5,1982,1998,TRUE,FALSE,FALSE
